Road Name,Classification,Year Constructed,ROW,Total Length Km,Concrete_L,Concrete_%,Concrete_C,Asphalt_L,Asphalt_%,Asphalt_C,Gravel_L,Gravel_%,Gravel_C,Earth_L,Earth_%,Earth_C
65. Gumboc-Jct Capt.      Fernando Road,Barangay Road,1984,6.00,0.99,0.54,54,Fair,,,,0.45,46,Fair,,,
66. Gumboc-Sitio Biasong,Barangay Road,2022,6.00,0.57,,,,,,,0.57,100,Fair,,,
67. Gumboc-Sitio Taal,Barangay Road,2022,6.00,0.43,,,,,,,0.43,100,Fair,,,
68. Igcadios Road,Barangay Road,1983,6.00,0.85,0.33,39,Fair,,,,0.52,61,Fair,,,
69. Igcadios-Ayabang Road,Barangay Road,2009,6.00,1.18,,,,,,,,,,1.18,100,Poor
70. Igcadios-Carara-an Road,Barangay Road,2022,6.00,0.96,,,,,,,,,,0.96,100,Poor
71. Isian Norte-Casling Road,Barangay Road,1999,6.00,1.67,0.81,48,Fair,,,,0.86,52,Fair,,,
72. Isian Norte-Sitio Gaspangan,Barangay Road,2019,6.00,0.27,,,,,,,,,,0.27,100,Fair
73. Isian Norte-Sitio Lanag,Barangay Road,1999,6.00,0.58,0.58,100,Fair,,,,,,,,,
74. Isian Norte-Sitio Lanag-,Barangay Road,2022,6.00,0.77,,,,,,,,,,0.77,100,Poor
Isian Victoria Road,Barangay Road,2022,6.00,0.77,,,,,,,,,,0.77,100,Poor
75. Isian Victoria Road,Barangay Road,2002,6.00,2.89,0.49,17,Fair,,,,,,,2.39,83,Poor
76. Jamog Gines Road,Barangay Road,2005,6.00,0.14,0.14,100,Fair,,,,,,,,,
77. Jamog Gines Road,Barangay Road,2017,6.00,0.30,0.15,50,Fair,,,,0.15,50,Good,,,
78. Lanag-ISAT U Demo Farm Rd,Barangay Road,2021,6.00,1.19,,,,,,,,,,1.19,100,Poor
79. Lang-og Road,Barangay Road,1982,6.00,0.98,0.98,100,Fair,,,,,,,,,
80. Lanag Road,Barangay Road,1982,6.00,1.18,0.97,82,Fair,,,,0.21,18,Poor,,,
81. Lanag-Nagbangi-Tuog,Barangay Road,1999,6.00,3.56,1.50,42,Fair,,,,2.06,58,Fair,,,
82. Lanag (going to Don Felimon Inland Resort,Barangay Road,2021,6.00,1.25,,,,,,,1.25,100,Poor,,,
83. Lanag-Sitio Puro Gamay,Barangay Road,2001,6.00,0.51,,,,,,,0.51,100,Fair,,,
84. Lanag-Tu-og Road,Barangay Road,2022,6.00,0.93,,,,,,,0.18,19,Fair,0.75,81,Poor
85. Ligtos Road,Barangay Road,1984,6.00,0.47,0.43,91,Fair,,,,0.04,9,Fair,,,
86. Ligtos-Gines Road,Barangay Road,1984,10.00,5.49,2.35,43,Fair,,,,3.14,57,Fair,,,
87. Magcapay-Sitio,Barangay Road,2018,6.00,0.55,,,,,,,,,,0.55,100,Poor
Kalapadan Road,Barangay Road,2018,6.00,0.55,,,,,,,,,,0.55,100,Poor
88. Magcapay-Sitio Bungad Rd,Barangay Road,2022,6.00,0.48,,,,,,,,,,0.48,100,Poor
89. Magcapay Road,Barangay Road,2009,6.00,1.75,1.09,63,Fair,,,,0.65,37,Poor,,,
90. Maliao Road,Barangay Road,1999,6.00,0.28,,,,,,,0.28,100,Fair,,,
91. Maliao-Cabunga-an Rd,Barangay Road,1997,6.00,2.65,0.56,21,Fair,,,,2.09,79,Poor,,,
92. Maliao-Lampaya Road,Barangay Road,2001,6.00,1.76,0.39,22,Fair,,,,1.37,78,Poor,,,
93. Malublub Road,Barangay Road,1998,6.00,1.87,1.29,69,Fair,,,,0.59,31,Fair,,,
94. Malublub-Abang-Abang Rd,Barangay Road,2009,6.00,2.24,,,,,,,,,,2.24,100,Poor
95. Malublub-Sitio Lintian Rd,Barangay Road,2017,6.00,2.00,,,,,,,2.00,100,Fair,,,
96. Malublub-Sitio Buyo,Barangay Road,2018,6.00,0.89,,,,,,,,,,0.89,100,Poor
97. Malublub-Sitio Tumotob,Barangay Road,2018,6.00,1.82,,,,,,,,,,1.82,100,Poor
98. Manampunay-Tac. Norte Rd,Barangay Road,1999,10.00,2.10,1.23,58,Fair,,,,0.87,42,Fair,,,
99. Marirong Road,Barangay Road,2018,6.00,0.29,0.29,100,Fair,,,,,,,,,
100. Mina Road,Barangay Road,2005,6.00,0.84,0.29,35,Fair,,,,0.55,65,Fair,,,
101. Mocol Road,Barangay Road,1983,6.00,0.45,0.45,100,Fair,,,,,,,,,
102. Nagbangi Road,Barangay Road,1983,6.00,0.32,,,,,,,0.32,100,Fair,,,
103. Nagbangi-Siol Norte-,Barangay Road,1999,6.00,3.80,1.36,36,Fair,,,,2.45,64,Fair,,,
Agboy Sur Road,Barangay Road,1999,6.00,3.80,1.36,36,Fair,,,,2.45,64,Fair,,,
104. Nalbang Road,Barangay Road,1983,6.00,0.43,0.43,100,Fair,,,,,,,,,
105. Odong-Odong Road,Barangay Road,1983,6.00,1.01,0.52,51,Fair,,,,0.50,49,Fair,,,
106. Oluangan Road,Barangay Road,1983,6.00,2.11,0.92,44,Fair,,,,1.19,56,Fair,,,
107. Paga Road,Barangay Road,2022,6.00,1.51,1.51,100,Fair,,,,,,,,,
108. Pandan-Buenavista Rd.,Barangay Road,1983,6.00,1.57,1.57,100,Fair,,,,,,,,,
109. Pandan-Barawbaraw Rd,Barangay Road,2022,6.00,0.87,,,,,,,0.87,100,Fair,,,
110. Pandan-Composting,Barangay Road,1994,6.00,0.45,,,,,,,0.45,100,Fair,,,
Center Road,Barangay Road,1994,6.00,0.45,,,,,,,0.45,100,Fair,,,
111. Paoy Road,Barangay Road,1997,6.00,0.60,0.11,18,Fair,,,,,,,0.49,82,Poor
112. Pepe-Binolbog Road,Barangay Road,1983,6.00,1.16,0.04,3,Poor,,,,0.04,3,Poor,1.09,93,Poor
113. Poblacion-Sitio Buntalan,Barangay Road,2018,10.00,0.44,0.44,100,Fair,,,,,,,,,
Sitio Dugo Road,Barangay Road,2018,10.00,0.44,0.44,100,Fair,,,,,,,,,
114. Poblacion-Sitio Dugo Rd,Barangay Road,2005,10.00,1.03,0.40,38,Fair,,,,0.64,62,Fair,,,
115. Poblacion-Sitio Miac-ac,Barangay Road,2005,6.00,1.77,1.08,61,Fair,,,,0.70,39,Fair,,,
116. Salngan Road,Barangay Road,1986,6.00,1.12,0.46,41,Fair,,,,0.66,59,Fair,,,
117. Salngan-Isian Victoria Rd,Barangay Road,1986,6.00,1.01,0.87,86,Fair,,,,0.14,14,Fair,,,
118. Samlague Road,Barangay Road,2010,6.00,1.00,0.86,86,Fair,,,,0.14,14,Fair,,,
119. Siol Sur Road,Barangay Road,2005,6.00,0.36,0.36,100,Fair,,,,,,,,,
120. Siol Sur-Anonang Road,Barangay Road,2016,6.00,1.24,,,,,,,1.24,100,Fair,,,
121. Tacuyong Norte Road,Barangay Road,1999,6.00,0.57,0.57,100,Fair,,,,,,,,,
122. Tac. Norte-Marirong Rd.,Barangay Road,1986,6.00,0.82,0.82,100,Fair,,,,,,,,,
123. Tacuyong Sur Road,Barangay Road,1982,6.00,0.59,0.59,100,Fair,,,,,,,,,
124. Tac. Sur-Baje Road,Barangay Road,2003,6.00,2.24,1.92,86,Fair,,,,0.32,14,Fair,,,
125. Tagsing Road,Barangay Road,1983,6.00,1.76,0.60,34,Fair,,,,1.16,66,Fair,,,
126. Talacu-an-Takasi-,Barangay Road,2009,6.00,0.81,0.51,63,Fair,,,,0.30,37,Poor,,,
Panginman Road,Barangay Road,2009,6.00,0.81,0.51,63,Fair,,,,0.30,37,Poor,,,
127. Takasi-Bunga Road,Barangay Road,2021,6.00,0.39,,,,,,,0.39,100,Fair,,,
128. Tina-an Norte Road,Barangay Road,1961,6.00,0.73,0.73,100,Fair,,,,,,,,,
129. Tina-an Norte-Sitio Bugo,Barangay Road,2022,4.00,0.47,0.14,30,Fair,,,,0.33,70,Poor,,,
130. Tunguan-Lampaya Road,Barangay Road,2017,6.00,1.50,,,,,,,,,,1.50,100,Poor
131. Tunguan-Banagan Road,Barangay Road,2005,6.00,1.51,,,,,,,,,,1.51,100,Poor
132. Tu-og Road,Barangay Road,2022,6.00,0.41,0.07,17,Fair,,,,0.34,83,Fair,,0,Poor
133. Tu-og-Lanot Road,Barangay Road,2000,6.00,0.55,0.19,35,Fair,,,,0.36,65,Fair,,,
134. Tu-og-Siol Norte Road,Barangay Road,2022,6.00,1.44,,,Fair,,,,,,,1.44,100,Poor
135. Dorog-Marirong-Dorog,Barangay Road,2022,6.00,0.90,0.90,100,Good,,,,,,,,,
Cemetery Road.,Barangay Road,2022,6.00,0.90,0.90,100,Good,,,,,,,,,
